Accuracy,Precision,Recall,F1 Score,AUC,Brier Score,Expected Return,Adjusted Expected Return,Expected Growth Rate,Negative Log Loss,Sharpe Ratio,Sortino Ratio,Backtesting Final Value,Return over Risked Capital,Backtesting Accuracy,Operations %,Dataset,asset,model,dataset
0.5161602621388144,0.5217670553760312,0.3244106672656708,0.4000738711563913,0.5233133002811723,0.2498185473858089,0.0003884501660077,0.0153050872538097,0.0752396417134336,-0.6928143449996998,0.5806670482951729,0.73240105931846,10248.823529411084,0.0018972309118305,0.5273143320588576,42.850759606791776,test,EURUSD,ridge,test
0.5204287537511642,0.5334136062612884,0.1408535292870769,0.2228588197481868,0.5273655153583285,0.2495863017164937,0.013534583017081,0.0233196983424231,0.1155327032341507,-0.6923237102141788,3.2771513456801635,5.419477706708059,52182.94117639287,0.0097898197616307,0.5314683261903365,58.752716360249735,val,EURUSD,ridge,val
0.5158313474332241,0.5215522509676105,0.3195063207417668,0.3962607275794557,0.5232737004553517,0.2498178464179962,0.0002699622003392,0.0151908019489003,0.0747998106505247,-0.6928044910974089,0.6203141783979308,0.7880226348707131,11062.470588237098,0.0020506424572919,0.5273950749775212,42.79242379108331,test,EURUSD,lr,test
0.5204115070194199,0.5327422003284072,0.1432735109164135,0.2258167796539388,0.5273165200415458,0.2495777260841701,0.0130914378183941,0.0230028165356073,0.1139830741630229,-0.6923063365799274,3.278385934655408,5.537887695263517,52621.05882344141,0.0099522069159299,0.5315537931136528,58.27929357386776,val,EURUSD,lr,val
0.502699582960977,0.0,0.0,0.0,0.4959877251210093,0.2504841924038407,-0.0039069358638008,0.0006819859441129,0.0035710244143921,-0.6941169484628116,-10.233183042930117,-11.28291318967958,-147442.23529413473,-0.0551423471925933,0.4972935014776019,21.21003376030185,test,EURUSD,rf,test
0.5118140112448691,0.0,0.0,0.0,0.4967458628793313,0.2500282938415811,-0.0046834264759258,0.0004593695176725,0.0024061339996855,-0.6932043603961774,-7.6457111269784575,-8.809193387661566,-64614.5294117784,-0.0455945677376905,0.5023186485591256,15.620364940843707,val,EURUSD,rf,val
0.5160671730711945,0.5216152209689721,0.3243357917462219,0.3999722989558245,0.5233139115878753,0.2498185239723291,0.0003898646056892,0.0153063809476041,0.075244182893979,-0.6928143866013617,0.5694423625555151,0.7186802904277496,10068.882352940604,0.0018637048192781,0.5272966867469879,42.85572435706484,test,EURUSD,lda,test
0.520368390190059,0.5332128029998661,0.1406592241927506,0.22259804880776,0.5273651358980435,0.2495867628098088,0.0135485560572215,0.0233280462360737,0.11557434756323,-0.6923246374964604,3.293322500575739,5.462091385781864,52456.76470580603,0.0098375808794319,0.531493463620758,58.77427477493015,val,EURUSD,lda,val
0.5045427464998511,0.5401894451962111,0.0249085894700061,0.0476213198453977,0.5223396419151345,0.2503669150714945,-0.0193920002755252,0.003205501765078,0.0098890991954628,-0.6941136499772005,-0.2572854342800681,-0.280345834010815,-1376.941176470542,-0.0023780570193217,0.5250641805161465,4.593014596365803,test,EURUSD,ada_boost,test
0.5122538029043496,0.5224669603524229,0.0104748109941355,0.0205378634387933,0.5281899118751672,0.2496955658366271,-0.0166635185298316,0.0013716623763376,0.0054498597851014,-0.6925810806707701,6.393651181246117,10.4835008558457,31880.882352938766,0.0490727360308298,0.5521435452793835,7.160843020247663,val,EURUSD,ada_boost,val
0.5096005858405322,0.525631569242117,0.1422884454594237,0.2239528602995335,0.5185533058703211,0.2500853716529991,-0.0055055805955299,0.0028555934277958,0.014921081573392,-0.6933186121455298,-6.499454956107408,-7.076413570598762,-148811.35294126993,-0.022098426934991,0.5146850384552827,53.41698937543442,test,EURUSD,gaussian_nb,test
0.5140302162740161,0.518894280252904,0.062336607079771,0.1113020989387034,0.5195538200373448,0.2498651891250608,-9.047480422439596e-05,0.00415455986192,0.0217135569736299,-0.6928778294532915,-3.4816738369482905,-4.449056186624585,-69246.05882355268,-0.0105856744764673,0.5207443818544963,72.10254906695181,val,EURUSD,gaussian_nb,val
0.5030657332936154,0.5345029239766081,0.0057030187313591,0.0112856225613671,0.5265217894214365,0.2499442794829896,-0.0163861141171033,0.0007806566428514,0.0040438616170643,-0.6930355274220098,3.2930551875476946,4.99896795788324,23149.82352941299,0.0199527983816671,0.5368172623061362,9.20340581868732,test,EURUSD,lgbm,test
0.5118829981718465,0.5172413793103449,0.0021196919381049,0.0042220814861726,0.5305210715242744,0.2496110845754789,-0.0113913354639407,0.0015027103516547,0.0077676478589061,-0.6923684620504668,7.782756276696574,13.20227015442411,64763.17647056327,0.0439804484114356,0.5494633939007544,16.23089924459315,val,EURUSD,lgbm,val
0.5119960778472843,0.5272244838615877,0.1810115682677548,0.2694969575920851,0.523116244610297,0.2498896950148017,-0.0024380557850846,0.0095804589981853,0.0477092188597327,-0.6929486270905174,-1.2264507000151472,-1.3019949596084477,-24479.82352949622,-0.0042018048020797,0.5241043132620723,46.21437791679078,test,EURUSD,sgd,test
0.5154875651064124,0.5270785659801678,0.0732353564615276,0.1286020037842364,0.5261931914084488,0.2496563754436875,0.0060494887219647,0.0126430022317398,0.0645850381464675,-0.692464874095842,0.6885148262048527,1.0545614657526683,12110.823529334832,0.0020506570580637,0.527395082662145,65.09606429581595,val,EURUSD,sgd,val
0.5027492304637077,0.6052631578947368,0.0002870228245541,0.0005737735590175,0.5133315969603963,0.2504331803967906,-0.0046713062404675,8.73472192592781e-06,3.9213451602975175e-05,-0.6940145305923516,0.540069210908489,0.3766352795876426,187.76470588235333,0.0857142857142859,0.5714285714285714,0.0173766259557144,test,EURUSD,qda,test
