Accuracy,Precision,Recall,F1 Score,AUC,Brier Score,Expected Return,Adjusted Expected Return,Expected Growth Rate,Negative Log Loss,Sharpe Ratio,Sortino Ratio,Backtesting Final Value,Return over Risked Capital,Backtesting Accuracy,Operations %,Dataset,asset,model,dataset,Expected Profit,Expected Loss,Expected Value
0.5161602621388144,0.5217670553760312,0.3244106672656708,0.4000738711563913,0.5233133002811723,0.2498185473858089,-0.1575676209128356,0.0002446966157298,0.0003346306297979,-0.6928143449996998,-1.2935963074251606,-0.9624364446786864,-258.8235294117751,-0.053763440860217,0.5913978494623656,0.2308608876973488,test,EURUSD,ridge,test,0.3159121421576867,0.4734797630705223,-0.1575676209128356
0.5204287537511642,0.5334136062612884,0.1408535292870769,0.2228588197481868,0.5273655153583285,0.2495863017164937,-0.1464971932487739,1.6971555174521705e-05,2.5168858911413483e-05,-0.6923237102141788,-1.465267206291588,-0.6127990898578308,-163.05882352941398,-0.1880597014925395,0.5074626865671642,0.0577765513435204,val,EURUSD,ridge,val,0.3200635525317098,0.4665607457804836,-0.1464971932487738
0.5158313474332241,0.5215522509676105,0.3195063207417668,0.3962607275794557,0.5232737004553517,0.2498178464179962,-0.1576674002523459,0.000219689586333,0.0003024320134489,-0.6928044910974089,-0.6777117065360084,-0.4788842509758664,-139.76470588236214,-0.0331288343558302,0.6042944785276073,0.2023135736272465,test,EURUSD,lr,test,0.3158747249053703,0.4735421251577162,-0.1576674002523459
0.5204115070194199,0.5327422003284072,0.1432735109164135,0.2258167796539388,0.5273165200415458,0.2495777260841701,-0.1468703681529312,1.3414652411013484e-05,2.020151335988966e-05,-0.6923063365799274,-1.710068299619852,-0.7313562838297784,-168.23529411764912,-0.2131147540983629,0.4918032786885246,0.05260253182022,val,EURUSD,lr,val,0.3199236119426507,0.466793980095582,-0.1468703681529313
0.502699582960977,0.0,0.0,0.0,0.4959877251210093,0.2504841924038407,-0.1611847880958322,0.0,0.0,-0.6941169484628116,0.0,0.0,0.0,0.0,0.0,0.0,test,EURUSD,rf,test,0.3145557044640628,0.4757404925598951,-0.1611847880958323
0.5118140112448691,0.0,0.0,0.0,0.4967458628793313,0.2500282938415811,-0.1618386749270954,0.0,0.0,-0.6932043603961774,0.0,0.0,0.0,0.0,0.0,0.0,val,EURUSD,rf,val,0.3143104969023392,0.4761491718294346,-0.1618386749270953
0.5160671730711945,0.5216152209689721,0.3243357917462219,0.3999722989558245,0.5233139115878753,0.2498185239723291,-0.1575664298057353,0.000245130296261,0.0003352050386337,-0.6928143866013617,-1.2257937919579758,-0.933563351338326,-251.05882352942228,-0.0520107238605918,0.5924932975871313,0.2314814814814814,test,EURUSD,lda,test,0.3159125888228492,0.4734790186285847,-0.1575664298057355
0.520368390190059,0.5332128029998661,0.1406592241927506,0.22259804880776,0.5273651358980435,0.2495867628098088,-0.1464854264781292,1.6965238207725925e-05,2.515619168039418e-05,-0.6923246374964604,-1.465267206291588,-0.6127990898578308,-163.05882352941398,-0.1880597014925395,0.5074626865671642,0.0577765513435204,val,EURUSD,lda,val,0.3200679650707015,0.4665533915488308,-0.1464854264781292
0.5045427464998511,0.5401894451962111,0.0249085894700061,0.0476213198453977,0.5223396419151345,0.2503669150714945,-0.1742248423372844,0.0014954664034546,0.001934172104084,-0.6941136499772005,-1.6500167440453974,-0.5075721770037467,-2018.8235294117803,-0.1813953488372133,0.5116279069767442,0.533710654354086,test,EURUSD,ada_boost,test,0.3096656841235183,0.4838905264608029,-0.1742248423372845
0.5122538029043496,0.5224669603524229,0.0104748109941355,0.0205378634387933,0.5281899118751672,0.2496955658366271,-0.1719271734988056,0.0003631827141061,0.0004704696037581,-0.6925810806707701,-2.7604689452537734,-0.95923517127498,-243.29411764706376,-0.1189873417721539,0.5506329113924051,0.1362491807802421,val,EURUSD,ada_boost,val,0.3105273099379479,0.4824544834367534,-0.1719271734988055
