Accuracy,Precision,Recall,F1 Score,AUC,Brier Score,Expected Return,Adjusted Expected Return,Expected Growth Rate,Negative Log Loss,Sharpe Ratio,Sortino Ratio,Backtesting Final Value,Return over Risked Capital,Backtesting Accuracy,Operations %,Dataset,asset,model,dataset,Expected Profit,Expected Loss,Expected Value
0.5161602621388144,0.5217670553760312,0.3244106672656708,0.4000738711563913,0.5233133002811723,0.2498185473858089,-0.0785895853734139,0.0011020232112652,0.0022510326103407,-0.6928143449996998,-4.417037351833518,-5.718804881386548,-11499.63235294182,-0.0532060746677924,0.5410251001898334,2.942235130572932,test,EURUSD,ridge,test,0.3948901776971083,0.4734797630705223,-0.0785895853734139
0.5204287537511642,0.5334136062612884,0.1408535292870769,0.2228588197481868,0.5273655153583285,0.2495863017164937,-0.0664813051158464,0.0012577194902075,0.0027756171105554,-0.6923237102141788,-2.8883936672677675,-3.385162121401251,-6667.279411764664,-0.0244606121424974,0.557451078775715,5.155910454968783,val,EURUSD,ridge,val,0.4000794406646372,0.4665607457804836,-0.0664813051158463
0.5158313474332241,0.5215522509676105,0.3195063207417668,0.3962607275794557,0.5232737004553517,0.2498178464179962,-0.0786987190260033,0.0010456863473167,0.0021504845256135,-0.6928044910974089,-4.174913667801347,-5.525197559894259,-10770.220588235905,-0.0503731343283591,0.5426439232409381,2.9105848475821667,test,EURUSD,lr,test,0.3948434061317128,0.4735421251577162,-0.0786987190260033
0.5204115070194199,0.5327422003284072,0.1432735109164135,0.2258167796539388,0.5273165200415458,0.2495777260841701,-0.0668894651672685,0.0012408103979993,0.0027403603411159,-0.6923063365799274,-3.047198057457972,-3.6670667867003366,-6895.220588235319,-0.0257578337874646,0.5567098092643051,5.063640440136594,val,EURUSD,lr,val,0.3999045149283136,0.466793980095582,-0.0668894651672684
0.502699582960977,0.0,0.0,0.0,0.4959877251210093,0.2504841924038407,-0.0825458619798165,0.0,0.0,-0.6941169484628116,0.0,0.0,0.0,0.0,0.0,0.0,test,EURUSD,rf,test,0.3931946305800786,0.4757404925598951,-0.0825458619798165
0.5118140112448691,0.0,0.0,0.0,0.4967458628793313,0.2500282938415811,-0.0832610507015106,0.0,0.0,-0.6932043603961774,0.0,0.0,0.0,0.0,0.0,0.0,val,EURUSD,rf,val,0.392888121127924,0.4761491718294346,-0.0832610507015105
0.5160671730711945,0.5216152209689721,0.3243357917462219,0.3999722989558245,0.5233139115878753,0.2498185239723291,-0.078588282600023,0.0011028645489286,0.0022525197010719,-0.6928143866013617,-4.401153227793681,-5.746116099493531,-11328.676470588878,-0.0524372230428369,0.5414644439755223,2.940993943004667,test,EURUSD,lda,test,0.3948907360285616,0.4734790186285847,-0.0785882826000231
0.520368390190059,0.5332128029998661,0.1406592241927506,0.22259804880776,0.5273651358980435,0.2495867628098088,-0.0664684352104538,0.0012577944146762,0.0027757912889185,-0.6923246374964604,-2.8895193451657897,-3.3886728263287424,-6667.279411764664,-0.0244606121424974,0.557451078775715,5.155910454968783,val,EURUSD,lda,val,0.4000849563383769,0.4665533915488308,-0.0664684352104538
0.5045427464998511,0.5401894451962111,0.0249085894700061,0.0476213198453977,0.5223396419151345,0.2503669150714945,-0.0968084213064048,0.0021486413430199,0.0034234911163452,-0.6941136499772005,-1.7421690725380852,-0.5806243073520582,-4513.235294117618,-0.105431309904151,0.5111821086261981,0.582737563300566,test,EURUSD,ada_boost,test,0.3870821051543979,0.4838905264608029,-0.0968084213064049
0.5122538029043496,0.5224669603524229,0.0104748109941355,0.0205378634387933,0.5281899118751672,0.2496955658366271,-0.0942953460143186,0.0005432846373385,0.0008798485347632,-0.6925810806707701,-0.4152294744345343,-0.2234256595571189,-102.57352941175668,-0.0105140186915879,0.5654205607476636,0.1845400296643786,val,EURUSD,ada_boost,val,0.3881591374224348,0.4824544834367534,-0.0942953460143186
0.5096005858405322,0.525631569242117,0.1422884454594237,0.2239528602995335,0.5185533058703211,0.2500853716529991,-0.0840182979169355,0.0,0.0,-0.6933186121455298,0.0,0.0,0.0,0.0,0.0,0.0,test,EURUSD,gaussian_nb,test,0.3925635866070276,0.4765818845239631,-0.0840182979169355
0.5140302162740161,0.518894280252904,0.062336607079771,0.1113020989387034,0.5195538200373448,0.2498651891250608,-0.0790307004775751,0.0,0.0,-0.6928778294532915,0.0,0.0,0.0,0.0,0.0,0.0,val,EURUSD,gaussian_nb,val,0.3947011283667535,0.4737318288443286,-0.079030700477575
0.5030657332936154,0.5345029239766081,0.0057030187313591,0.0112856225613671,0.5265217894214365,0.2499442794829896,-0.0940398419499636,0.0,0.0,-0.6930355274220098,0.0,0.0,0.0,0.0,0.0,0.0,test,EURUSD,lgbm,test,0.3882686391643014,0.4823084811142649,-0.0940398419499635
0.5118829981718465,0.5172413793103449,0.0021196919381049,0.0042220814861726,0.5305210715242744,0.2496110845754789,-0.0894393879273138,0.0,0.0,-0.6923684620504668,0.0,0.0,0.0,0.0,0.0,0.0,val,EURUSD,lgbm,val,0.3902402623168655,0.4796796502441793,-0.0894393879273138
0.5119960778472843,0.5272244838615877,0.1810115682677548,0.2694969575920851,0.523116244610297,0.2498896950148017,-0.0811929461178411,0.000726365217961,0.0014533075964329,-0.6929486270905174,-0.3754733418631452,-0.2602002460088634,-866.1764705882099,-0.0106981981981979,0.5653153153153153,1.1021745606196007,test,EURUSD,sgd,test,0.3937744516637824,0.4749673977816235,-0.0811929461178411
